ano,mes,rcl
2004,1,1355854000
2003,2,1135078000
2003,3,1115103000
2003,4,1107752000
2003,5,1177929000
2003,6,1075490000
2003,7,1207069000
2003,8,1125004000
2003,9,1162347000
2003,10,1203909000
2003,11,1157952000
2003,12,1482490000
2004,1,1330016000
2004,2,1280442000
2004,3,1320507000
2004,4,1268583000
2004,5,1324573000
2004,6,1216078000
2004,7,1477360000
2004,8,1445766000
2004,9,1379756000
2004,10,1395876000
2004,11,1435742000
2004,12,1821280000
2005,1,1761910000
2005,2,1480919000
2005,3,1566827000
2005,4,1510245000
2005,5,1533909000
2005,6,1773849000
2005,7,1639157000
2005,8,1569545000
2005,9,1558960000
2005,10,1537041000
2005,11,1691508000
2005,12,1926464000
2006,1,2414651612
2006,2,1636973509
2006,3,1704384900
2006,4,1558353002
2006,5,1798859479
2006,6,1814857871
2006,7,1784442167
2006,8,1758133210
2006,9,1799595005
2006,10,1814424589
2006,11,1864563738
2006,12,2134160175
2007,1,2151632211
2007,2,1782674557
2007,3,1803323813
2007,4,1759325593
2007,5,1941305471
2007,6,1941403471
2007,7,1939715129
2007,8,1832965997
2007,9,1895634558
2007,10,1935292326
2007,11,2471934294
2007,12,2348470793
2008,1,3392798506
2008,2,2285229147
2008,3,2468116997
2008,4,2234535536
2008,5,2195139032
2008,6,2264044180
2008,7,2245246789
2008,8,2328438725
2008,9,2343986089
2008,10,2348912263
2008,11,2499344417
2008,12,2636697734
2009,1,2634126430
2009,2,2079777432
2009,3,2121734928
2009,4,3008496533
2009,5,2174818961
2009,6,2526602690
2009,7,2091551356
2009,8,2187804812
2009,9,2337659181
2009,10,2297898472
2009,11,2548752372
2009,12,3109246381
2010,1,2874228467
2010,2,2339219801
2010,3,2537106768
2010,4,2709046317
2010,5,2499657199
2010,6,2572594726
2010,7,2566275245
2010,8,3354641334
2010,9,2621607725
2010,10,2675082127
2010,11,2681385967
2010,12,3748306003
2011,1,3298515795
2011,2,2730745681
2011,3,2870100245
2011,4,3154377046
2011,5,2620348046
2011,6,2962581107
2011,7,2813964614
2011,8,3046062741
2011,9,2797573902
2011,10,3038076716
2011,11,3149301011
2011,12,4802536643
2012,1,3785136112
2012,2,3011122923
2012,3,3166121323
2012,4,3239446685
2012,5,3036377742
2012,6,3140809140
2012,7,3159269081
2012,8,3164245177
2012,9,3065461945
2012,10,3188583134
2012,11,3757062676
2012,12,4657457362
2013,1,3981106040
2013,2,3485384857
2013,3,3415476487
2013,4,3570825617
2013,5,3357028355
2013,6,3716649604
2013,7,3220668113
2013,8,3370762046
2013,9,3391327371
2013,10,3683527657
2013,11,3522385481
2013,12,4426157172
2014,1,4952785236
2014,2,3870532712
2014,3,3704057113
2014,4,3601189526
2014,5,3463474590
2014,6,4292643883
2014,7,3562734178
2014,8,3696401761
2014,9,3678873314
2014,10,3887113544
2014,11,3979902304
2014,12,4954527274
